"Story","Title","Result","Date","Stability","Duration (s)"
"User","GET - As admin I have be able to get detail user","SUCCESS","2023-01-29T09:01:29.35107+07:00[Asia/Jakarta]","0.0","4.8"
"User","POST - As admin I have be able to create new user","SUCCESS","2023-01-29T09:01:34.161788+07:00[Asia/Jakarta]","0.0","1.35"
"User","PUT - As admin I have to be able to update an user","SUCCESS","2023-01-29T09:01:35.515969+07:00[Asia/Jakarta]","0.0","1.34"
"User","DELETE - As admin I have to be able to delete an user","SUCCESS","2023-01-29T09:01:36.869768+07:00[Asia/Jakarta]","0.0","1.3"
