"Story","Title","Result","Date","Stability","Duration (s)"
"User","POST - As admin I have be able to create new user","SUCCESS","2023-01-29T17:08:08.468028169+07:00[Asia/Jakarta]","0.0","0.71"
"User","PUT - As admin I have to be able to update an user","SUCCESS","2023-01-29T17:08:09.186925667+07:00[Asia/Jakarta]","0.0","0.63"
"User","DELETE - As admin I have to be able to delete an user","SUCCESS","2023-01-29T17:08:09.838912956+07:00[Asia/Jakarta]","0.0","0.57"
