"Story","Title","Result","Date","Stability","Duration (s)"
"User","GET - As admin I have be able to get detail user","SUCCESS","2023-07-11T09:18:38.536531658+07:00[Asia/Jakarta]","0.0","7.2"
"User","POST - As admin I have be able to create new user","SUCCESS","2023-07-11T09:18:45.768799507+07:00[Asia/Jakarta]","0.0","1.1"
"User","PUT - As admin I have to be able to update an user","SUCCESS","2023-07-11T09:18:46.887467774+07:00[Asia/Jakarta]","0.0","0.76"
"User","DELETE - As admin I have to be able to delete an user","SUCCESS","2023-07-11T09:18:47.65643114+07:00[Asia/Jakarta]","0.0","0.89"
