"Story","Title","Result","Date","Stability","Duration (s)"
"User","GET - As admin I have be able to get detail user","SUCCESS","2023-07-10T09:51:35.244841713+07:00[Asia/Jakarta]","0.0","4.44"
"User","POST - As admin I have be able to create new user","SUCCESS","2023-07-10T09:51:39.706127713+07:00[Asia/Jakarta]","0.0","0.78"
"User","PUT - As admin I have to be able to update an user","SUCCESS","2023-07-10T09:51:40.504865966+07:00[Asia/Jakarta]","0.0","0.86"
"User","DELETE - As admin I have to be able to delete an user","SUCCESS","2023-07-10T09:51:41.37638226+07:00[Asia/Jakarta]","0.0","0.63"
